0.00.019.717 W Setting 'enable_thinking' via --chat-template-kwargs is deprecated. Use --reasoning on / --reasoning off instead.
0.00.019.933 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.020.003 I srv          init: The UI is disabled
0.00.020.004 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.020.063 W srv  llama_server: -----------------
0.00.020.064 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.020.064 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.020.064 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.020.065 W srv  llama_server: -----------------
0.00.021.292 I srv    load_model: loading model '/llm/models/Qwen3.8/27B/Q8_0/Qwen3.8-27B-Q8_0.gguf'
0.03.515.615 I cmn          init: llama threadpool init, n_threads = 16
0.03.708.939 I common_speculative_init_result: creating MTP draft context against the target model '/llm/models/Qwen3.8/27B/Q8_0/Qwen3.8-27B-Q8_0.gguf'
0.03.728.040 W srv    load_model: cache_reuse is not supported by this context, it will be disabled
0.03.876.945 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16384, kv_unified = 'false'
0.03.907.659 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.03.907.698 I srv  llama_server: model loaded
0.03.907.703 I srv  llama_server: listening on http://127.0.0.1:8997
0.04.062.641 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.04.062.698 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.08.755.253 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2090, progress = 0.73, t =   3.50 s / 597.75 tokens per second
0.09.344.726 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2335, progress = 0.82, t =   4.70 s / 496.91 tokens per second
0.10.504.243 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2847, progress = 1.00, t =   5.32 s / 535.28 tokens per second
0.15.884.835 I slot print_timing: id  0 | task 0 | n_gen =    101, tg =  19.20 t/s, tg_3s =  19.39 t/s
0.18.937.824 I slot print_timing: id  0 | task 0 | n_gen =    161, tg =  19.37 t/s, tg_3s =  19.65 t/s
0.20.924.098 I slot print_timing: id  0 | task 0 | prompt eval time =    6613.21 ms /  2851 tokens (    2.32 ms per token,   431.11 tokens per second)
0.20.924.102 I slot print_timing: id  0 | task 0 |        eval time =   10248.13 ms /   200 tokens (   51.50 ms per token,    19.42 tokens per second)
0.20.924.103 I slot print_timing: id  0 | task 0 |       total time =   16861.34 ms /  3051 tokens
0.20.924.105 I slot print_timing: id  0 | task 0 |    graphs reused =         67
0.20.924.109 I slot print_timing: id  0 | task 0 | draft acceptance = 0.98507 (  132 accepted /   134 generated), mean len =  2.97
0.20.924.266 I slot      release: id  0 | task 0 | stop processing: n_tokens = 3050, truncated = 0
0.20.931.139 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.935
0.20.931.170 I slot launch_slot_: id  0 | task 73 | processing task, is_child = 0
0.25.725.959 I slot print_timing: id  0 | task 73 | prompt processing, n_tokens =   2090, progress = 0.73, t =   3.59 s / 581.72 tokens per second
0.26.340.532 I slot print_timing: id  0 | task 73 | prompt processing, n_tokens =   2335, progress = 0.82, t =   4.81 s / 485.52 tokens per second
0.27.554.619 I slot print_timing: id  0 | task 73 | prompt processing, n_tokens =   2847, progress = 1.00, t =   5.47 s / 520.51 tokens per second
0.32.955.902 I slot print_timing: id  0 | task 73 | n_gen =    101, tg =  19.21 t/s, tg_3s =  19.41 t/s
0.36.015.404 I slot print_timing: id  0 | task 73 | n_gen =    161, tg =  19.36 t/s, tg_3s =  19.61 t/s
0.38.003.544 I slot print_timing: id  0 | task 73 | prompt eval time =    6820.06 ms /  2851 tokens (    2.39 ms per token,   418.03 tokens per second)
0.38.003.549 I slot print_timing: id  0 | task 73 |        eval time =   10252.28 ms /   200 tokens (   51.52 ms per token,    19.41 tokens per second)
0.38.003.550 I slot print_timing: id  0 | task 73 |       total time =   17072.34 ms /  3051 tokens
0.38.003.551 I slot print_timing: id  0 | task 73 |    graphs reused =        133
0.38.003.556 I slot print_timing: id  0 | task 73 | draft acceptance = 0.98507 (  132 accepted /   134 generated), mean len =  2.97
0.38.003.676 I slot      release: id  0 | task 73 | stop processing: n_tokens = 3050, truncated = 0
0.38.007.005 I srv    operator(): operator(): cleaning up before exit...
