0.00.021.768 W Setting 'enable_thinking' via --chat-template-kwargs is deprecated. Use --reasoning on / --reasoning off instead.
0.00.021.970 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.022.041 I srv          init: The UI is disabled
0.00.022.042 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.022.097 W srv  llama_server: -----------------
0.00.022.098 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.022.098 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.022.099 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.022.099 W srv  llama_server: -----------------
0.00.023.312 I srv    load_model: loading model '/llm/models/Qwen3.8/27B/Q8_0/Qwen3.8-27B-Q8_0.gguf'
0.03.448.504 I cmn          init: llama threadpool init, n_threads = 16
0.03.626.808 I common_speculative_init_result: creating MTP draft context against the target model '/llm/models/Qwen3.8/27B/Q8_0/Qwen3.8-27B-Q8_0.gguf'
0.03.645.586 W srv    load_model: cache_reuse is not supported by this context, it will be disabled
0.03.833.453 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16384, kv_unified = 'false'
0.03.863.142 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.03.863.174 I srv  llama_server: model loaded
0.03.863.180 I srv  llama_server: listening on http://127.0.0.1:8997
0.04.043.583 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.04.043.663 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.11.208.582 I slot print_timing: id  0 | task 0 | n_gen =    102, tg =  15.35 t/s, tg_3s =  15.50 t/s
0.14.257.844 I slot print_timing: id  0 | task 0 | n_gen =    143, tg =  14.74 t/s, tg_3s =  13.45 t/s
0.17.340.609 I slot print_timing: id  0 | task 0 | n_gen =    186, tg =  14.55 t/s, tg_3s =  13.95 t/s
0.20.391.942 I slot print_timing: id  0 | task 0 | n_gen =    230, tg =  14.53 t/s, tg_3s =  14.42 t/s
0.23.444.335 I slot print_timing: id  0 | task 0 | n_gen =    273, tg =  14.46 t/s, tg_3s =  14.09 t/s
0.26.496.677 I slot print_timing: id  0 | task 0 | n_gen =    319, tg =  14.54 t/s, tg_3s =  15.07 t/s
0.29.547.559 I slot print_timing: id  0 | task 0 | n_gen =    357, tg =  14.29 t/s, tg_3s =  12.46 t/s
0.32.600.642 I slot print_timing: id  0 | task 0 | n_gen =    396, tg =  14.12 t/s, tg_3s =  12.77 t/s
0.35.685.556 I slot print_timing: id  0 | task 0 | n_gen =    447, tg =  14.36 t/s, tg_3s =  16.53 t/s
0.38.740.757 I slot print_timing: id  0 | task 0 | n_gen =    489, tg =  14.31 t/s, tg_3s =  13.75 t/s
0.41.795.318 I slot print_timing: id  0 | task 0 | n_gen =    533, tg =  14.31 t/s, tg_3s =  14.40 t/s
0.44.848.749 I slot print_timing: id  0 | task 0 | n_gen =    580, tg =  14.40 t/s, tg_3s =  15.39 t/s
0.47.904.005 I slot print_timing: id  0 | task 0 | n_gen =    625, tg =  14.42 t/s, tg_3s =  14.73 t/s
0.50.957.882 I slot print_timing: id  0 | task 0 | n_gen =    668, tg =  14.40 t/s, tg_3s =  14.08 t/s
0.53.435.655 I slot print_timing: id  0 | task 0 | prompt eval time =     583.65 ms /    81 tokens (    7.21 ms per token,   138.78 tokens per second)
0.53.435.658 I slot print_timing: id  0 | task 0 |        eval time =   48808.27 ms /   700 tokens (   69.83 ms per token,    14.32 tokens per second)
0.53.435.659 I slot print_timing: id  0 | task 0 |       total time =   49391.92 ms /   781 tokens
0.53.435.664 I slot print_timing: id  0 | task 0 |    graphs reused =        315
0.53.435.669 I slot print_timing: id  0 | task 0 | draft acceptance = 0.59655 (  380 accepted /   637 generated), mean len =  2.19
0.53.435.773 I slot      release: id  0 | task 0 | stop processing: n_tokens = 780, truncated = 0
0.53.438.566 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.549 (> 0.100 thold), f_keep = 0.058
0.53.535.949 I slot launch_slot_: id  0 | task 323 | processing task, is_child = 0
1.00.247.789 I slot print_timing: id  0 | task 323 | n_gen =    100, tg =  16.14 t/s, tg_3s =  16.30 t/s
1.03.297.483 I slot print_timing: id  0 | task 323 | n_gen =    138, tg =  14.92 t/s, tg_3s =  12.46 t/s
